Season,Lg,Tm,Voting,,,,,
2012-13,NBA,1st, (V),Tony Allen,Serge Ibaka,LeBron James,Chris Paul,"Tyson Chandler, Joakim Noah (T)"
2012-13,NBA,2nd, (V),Avery Bradley,Mike Conley,Tim Duncan,Marc Gasol,Paul George
2011-12,NBA,1st, (V),Tony Allen,Dwight Howard,Serge Ibaka,LeBron James,Chris Paul
2011-12,NBA,2nd, (V),Kobe Bryant,Tyson Chandler,Luol Deng,Kevin Garnett,Rajon Rondo
2010-11,NBA,1st, (V),Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Rajon Rondo
2010-11,NBA,2nd, (V),Tony Allen,Tyson Chandler,Andre Iguodala,Joakim Noah,Chris Paul
2009-10,NBA,1st, (V),Kobe Bryant,Dwight Howard,LeBron James,Rajon Rondo,Gerald Wallace
2009-10,NBA,2nd, (V),Tim Duncan,Thabo Sefolosha,Josh Smith,Anderson Varejão,Dwyane Wade
2008-09,NBA,1st, (V),Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Chris Paul
2008-09,NBA,2nd, (V),Metta World Peace,Shane Battier,Tim Duncan,Rajon Rondo,Dwyane Wade
2007-08,NBA,1st, (V),Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan,Kevin Garnett
2007-08,NBA,2nd, (V),Shane Battier,Raja Bell,Dwight Howard,Chris Paul,Tayshaun Prince
2006-07,NBA,1st, (V),Raja Bell,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan
2006-07,NBA,2nd, (V),Kevin Garnett,Kirk Hinrich,Jason Kidd,Tayshaun Prince,Ben Wallace
2005-06,NBA,1st, (V),Metta World Peace,Bruce Bowen,Andrei Kirilenko,Ben Wallace,"Kobe Bryant, Jason Kidd (T)"
2005-06,NBA,2nd, (V),Chauncey Billups,Marcus Camby,Tim Duncan,Kevin Garnett,Tayshaun Prince
2004-05,NBA,1st, (V),Bruce Bowen,Tim Duncan,Kevin Garnett,Larry Hughes,Ben Wallace
2004-05,NBA,2nd, (V),Chauncey Billups,Marcus Camby,Andrei Kirilenko,Tayshaun Prince,"Jason Kidd, Dwyane Wade (T)"
2003-04,NBA,1st, (V),Metta World Peace,Bruce Bowen,Kobe Bryant,Kevin Garnett,Ben Wallace
2003-04,NBA,2nd, (V),Doug Christie,Tim Duncan,Jason Kidd,Andrei Kirilenko,Theo Ratliff
2002-03,NBA,1st, (V),Kobe Bryant,Doug Christie,Tim Duncan,Kevin Garnett,Ben Wallace
2002-03,NBA,2nd, (V),Metta World Peace,Bruce Bowen,Jason Kidd,Shaquille O'Neal,Eric Snow
2001-02,NBA,1st, (V),Tim Duncan,Kevin Garnett,Jason Kidd,Gary Payton,Ben Wallace
2001-02,NBA,2nd, (V),Bruce Bowen,Kobe Bryant,Doug Christie,Dikembe Mutombo,Clifford Robinson
2000-01,NBA,1st, (V),Tim Duncan,Kevin Garnett,Jason Kidd,Dikembe Mutombo,Gary Payton
2000-01,NBA,2nd, (V),Bruce Bowen,P.J. Brown,Kobe Bryant,Doug Christie,Shaquille O'Neal
1999-00,NBA,1st, (V),Kobe Bryant,Tim Duncan,Kevin Garnett,Alonzo Mourning,Gary Payton
1999-00,NBA,2nd, (V),Eddie Jones,Jason Kidd,Shaquille O'Neal,Scottie Pippen,Clifford Robinson
1998-99,NBA,1st, (V),Tim Duncan,Jason Kidd,Alonzo Mourning,Gary Payton,"Karl Malone, Scottie Pippen (T)"
1998-99,NBA,2nd, (V),Mookie Blaylock,P.J. Brown,Eddie Jones,Dikembe Mutombo,Theo Ratliff
1997-98,NBA,1st, (V),Michael Jordan,Karl Malone,Dikembe Mutombo,Gary Payton,Scottie Pippen
1997-98,NBA,2nd, (V),Mookie Blaylock,Tim Duncan,Eddie Jones,Charles Oakley,David Robinson
1996-97,NBA,1st, (V),Michael Jordan,Karl Malone,Dikembe Mutombo,Gary Payton,Scottie Pippen
1996-97,NBA,2nd, (V),Mookie Blaylock,P.J. Brown,Anthony Mason,Hakeem Olajuwon,John Stockton
1995-96,NBA,1st, (V),Michael Jordan,Gary Payton,Scottie Pippen,David Robinson,Dennis Rodman
1995-96,NBA,2nd, (V),Mookie Blaylock,Horace Grant,Derrick McKey,Hakeem Olajuwon,Bobby Phills
1994-95,NBA,1st, (V),Mookie Blaylock,Gary Payton,Scottie Pippen,David Robinson,Dennis Rodman
1994-95,NBA,2nd, (V),Horace Grant,Derrick McKey,Nate McMillan,Dikembe Mutombo,John Stockton
1993-94,NBA,1st, (V),Mookie Blaylock,Charles Oakley,Hakeem Olajuwon,Gary Payton,Scottie Pippen
1993-94,NBA,2nd, (V),Horace Grant,Nate McMillan,David Robinson,Dennis Rodman,Latrell Sprewell
1992-93,NBA,1st, (V),Joe Dumars,Michael Jordan,Hakeem Olajuwon,Scottie Pippen,Dennis Rodman
1992-93,NBA,2nd, (V),Horace Grant,Dan Majerle,Larry Nance,David Robinson,John Starks
1991-92,NBA,1st, (V),Joe Dumars,Michael Jordan,Scottie Pippen,David Robinson,Dennis Rodman
1991-92,NBA,2nd, (V),Patrick Ewing,Larry Nance,John Stockton,Buck Williams,Micheal Williams
1990-91,NBA,1st, (V),Michael Jordan,Alvin Robertson,David Robinson,Dennis Rodman,Buck Williams
1990-91,NBA,2nd, (V),Joe Dumars,Dan Majerle,Hakeem Olajuwon,Scottie Pippen,John Stockton
1989-90,NBA,1st, (V),Joe Dumars,Michael Jordan,Hakeem Olajuwon,Dennis Rodman,Buck Williams
1989-90,NBA,2nd, (V),Derek Harper,Rick Mahorn,Kevin McHale,Alvin Robertson,David Robinson
1988-89,NBA,1st, (V),Joe Dumars,Mark Eaton,Michael Jordan,Larry Nance,Dennis Rodman
1988-89,NBA,2nd, (V),Patrick Ewing,A.C. Green,Kevin McHale,Alvin Robertson,John Stockton
1987-88,NBA,1st, (V),Michael Cooper,Michael Jordan,Rodney McCray,Kevin McHale,Hakeem Olajuwon
1987-88,NBA,2nd, (V),Fat Lever,Karl Malone,Alvin Robertson,Buck Williams,"Mark Eaton, Patrick Ewing (T)"
1986-87,NBA,1st, (V),Michael Cooper,Dennis Johnson,Kevin McHale,Hakeem Olajuwon,Alvin Robertson
1986-87,NBA,2nd, (V),Maurice Cheeks,Mark Eaton,Derek Harper,Rodney McCray,Paul Pressey
1985-86,NBA,1st, (V),Maurice Cheeks,Mark Eaton,Kevin McHale,Sidney Moncrief,Paul Pressey
1985-86,NBA,2nd, (V),Manute Bol,Michael Cooper,Bill Hanzlik,Dennis Johnson,Alvin Robertson
1984-85,NBA,1st, (V),Maurice Cheeks,Michael Cooper,Mark Eaton,Sidney Moncrief,Paul Pressey
1984-85,NBA,2nd, (V),T.R. Dunn,Dennis Johnson,Bobby Jones,Hakeem Olajuwon,Danny Vranes
1983-84,NBA,1st, (V),Maurice Cheeks,Michael Cooper,Bobby Jones,Sidney Moncrief,Tree Rollins
1983-84,NBA,2nd, (V),Kareem Abdul-Jabbar,Larry Bird,T.R. Dunn,Dennis Johnson,Dan Roundfield
1982-83,NBA,1st, (V),Bobby Jones,Moses Malone,Sidney Moncrief,Dan Roundfield,"Maurice Cheeks, Dennis Johnson (T)"
1982-83,NBA,2nd, (V),Larry Bird,Michael Cooper,T.R. Dunn,Kevin McHale,Tree Rollins
1981-82,NBA,1st, (V),Michael Cooper,Dennis Johnson,Bobby Jones,Caldwell Jones,Dan Roundfield
1981-82,NBA,2nd, (V),Larry Bird,Quinn Buckner,Sidney Moncrief,Lonnie Shelton,Jack Sikma
1980-81,NBA,1st, (V),Kareem Abdul-Jabbar,Dennis Johnson,Bobby Jones,Caldwell Jones,Michael Ray Richardson
1980-81,NBA,2nd, (V),Quinn Buckner,George Johnson,Dan Roundfield,Kermit Washington,"Dudley Bradley, Michael Cooper (T)"
1979-80,NBA,1st, (V),Kareem Abdul-Jabbar,Dennis Johnson,Bobby Jones,Dan Roundfield,"Don Buse, Michael Ray Richardson (T)"
1979-80,NBA,2nd, (V),Quinn Buckner,Dave Cowens,Eddie Johnson,Kermit Washington,Scott Wedman
1978-79,NBA,1st, (V),Kareem Abdul-Jabbar,Don Buse,Bob Dandridge,Dennis Johnson,Bobby Jones
1978-79,NBA,2nd, (V),M.L. Carr,Lionel Hollins,Eddie Johnson,Maurice Lucas,Moses Malone
1977-78,NBA,1st, (V),Don Buse,Lionel Hollins,Bobby Jones,Maurice Lucas,Bill Walton
1977-78,NBA,2nd, (V),Quinn Buckner,E.C. Coleman,Bob Gross,Norm Van Lier,"Kareem Abdul-Jabbar, Artis Gilmore (T)"
1976-77,NBA,1st, (V),Don Buse,E.C. Coleman,Bobby Jones,Norm Van Lier,Bill Walton
1976-77,NBA,2nd, (V),Kareem Abdul-Jabbar,Jim Brewer,Don Chaney,Brian Taylor,Jamaal Wilkes
1975-76,NBA,1st, (V),Dave Cowens,John Havlicek,Paul Silas,Norm Van Lier,Slick Watts
1975-76,NBA,2nd, (V),Kareem Abdul-Jabbar,Jim Brewer,Jim Cleamons,Phil Smith,Jamaal Wilkes
1975-76,ABA,1st,,Don Buse,Julius Erving,Artis Gilmore,Bobby Jones,Brian Taylor
1975-76,ABA,2nd,,,,,,
1974-75,NBA,1st, (V),Kareem Abdul-Jabbar,Walt Frazier,John Havlicek,Paul Silas,Jerry Sloan
1974-75,NBA,2nd, (V),Don Chaney,Dave Cowens,Elvin Hayes,Bob Love,Norm Van Lier
1974-75,ABA,1st,,Don Buse,Artis Gilmore,Bobby Jones,Wil Jones,Brian Taylor
1974-75,ABA,2nd,,,,,,
1973-74,NBA,1st, (V),Kareem Abdul-Jabbar,Dave DeBusschere,John Havlicek,Norm Van Lier,"Walt Frazier, Jerry Sloan (T)"
1973-74,NBA,2nd, (V),Don Chaney,Elvin Hayes,Bob Love,Nate Thurmond,"Jim Price, Dick Van Arsdale (T)"
1973-74,ABA,1st,,Artis Gilmore,Julius Keye,Ted McClain,Willie Wise,"Mike Gale, Fatty Taylor (T)"
1973-74,ABA,2nd,,,,,,
1972-73,NBA,1st, (V),Wilt Chamberlain,Dave DeBusschere,Walt Frazier,John Havlicek,Jerry West
1972-73,NBA,2nd, (V),Don Chaney,Mike Riordan,Paul Silas,Nate Thurmond,Norm Van Lier
1972-73,ABA,1st,,Mike Gale,Artis Gilmore,Fatty Taylor,Willie Wise,"Joe Caldwell, Julius Keye (T)"
1972-73,ABA,2nd,,,,,,
1971-72,NBA,1st, (V),Wilt Chamberlain,Dave DeBusschere,John Havlicek,Jerry West,"Walt Frazier, Jerry Sloan (T)"
1971-72,NBA,2nd, (V),Don Chaney,Bob Love,Paul Silas,Nate Thurmond,Norm Van Lier
1970-71,NBA,1st, (V),Dave DeBusschere,Walt Frazier,Gus Johnson,Nate Thurmond,Jerry West
1970-71,NBA,2nd, (V),Kareem Abdul-Jabbar,John Havlicek,Paul Silas,Jerry Sloan,Norm Van Lier
1969-70,NBA,1st, (V),Dave DeBusschere,Walt Frazier,Gus Johnson,Willis Reed,Jerry West
1969-70,NBA,2nd, (V),Kareem Abdul-Jabbar,Bill Bridges,Joe Caldwell,John Havlicek,Jerry Sloan
1968-69,NBA,1st, (V),Dave DeBusschere,Walt Frazier,Bill Russell,Jerry Sloan,Nate Thurmond
1968-69,NBA,2nd, (V),Bill Bridges,John Havlicek,Rudy LaRusso,Tom Sanders,Jerry West
